Age,Salary
28,94524.80494660322
23,80529.96541033413
52,71145.76046320448
24,75605.08253086587
48,63842.455183733175
40,71985.11619352736
45,80140.9066474066
51,93773.30662020043
42,56507.13797146268
34,50404.93610568137
27,65763.24369048959
53,56033.12735175248
42,71519.5249405463
37,65784.44804709531
51,98101.18006116981
48,46187.52574846358
49,71169.87295388228
58,48786.77538887125
23,69802.33369600865
35,37876.66910360591
21,89679.86543021513
23,94824.65782016749
21,65838.09715463164
53,64780.84469173607
23,73436.79974555295
46,47040.41285229379
20,44778.35738370027
32,31002.67034762513
49,42628.61334111006
53,43995.437724178446
44,56802.531272359156
51,57902.413344168315
59,97619.58023484665
50,36722.45765917387
28,79123.30098655846
30,35366.223973061635
25,47188.179684672315
54,88767.63538852648
58,67030.30881912538
50,75635.84121676961
38,72503.92399614923
26,76682.45858634442
22,43096.37422901298
20,59602.10490544338
21,39278.885388766605
37,66791.40139016858
22,35547.31491431789
51,96541.76587262278
30,54336.6674634427
44,77865.08325351552
52,88509.26517851566
32,70004.34316114309
55,89820.93899438284
56,90384.0268069961
26,79730.10823320317
45,80803.3298384765
43,59121.386748597586
34,46913.36495639863
50,91437.83095895522
45,34847.53639684609
47,40240.37900199879
24,36230.30647303308
57,39516.02569168932
50,31921.057877845466
53,40834.607744002606
41,73691.26106055418
54,51993.27736625153
54,79236.63735742158
33,74785.22587245416
22,76360.5470956177
57,80838.5195335786
32,36960.34835215355
47,30454.048777961998
47,65297.28428725233
57,52201.622027168945
35,83548.63630522667
37,41127.39865223167
56,90819.84867296135
25,82041.42444950217
47,68012.02661748533
31,33220.25034440392
25,31884.820313479326
56,97139.21972257872
51,57212.165536234235
49,61017.94689420239
39,79833.41844988405
35,67050.42577633291
52,81124.16620509839
59,51917.791573616276
21,70657.2931635085
22,90247.89190299754
40,71906.47040421258
35,98675.6192576476
41,30151.907325157103
49,69214.89442036815
56,98421.82554110647
34,41287.28746283481
25,77164.12692504737
24,99079.05972601411
58,48241.32719834378
51,44660.01287684921
58,52082.62234291757
51,61537.712768878206
41,84241.16038929643
33,99071.44731681727
21,44219.513241433146
33,50970.97493585796
27,99193.53376737374
59,50978.640085424886
59,62715.66826890852
31,57031.05046583534
55,58411.93228478898
40,68025.61705235811
49,51518.67180953638
40,53056.51876800116
55,63194.98393294041
43,75718.02609115696
28,97454.92083224865
50,33501.44917859475
49,39191.32234090701
34,79848.14048615561
41,89944.6355657123
39,82982.63854411244
52,53906.20572848653
39,88729.2270056355
50,39389.459058725886
48,79996.59602477532
53,38442.96477969477
30,83875.25898965231
45,40913.52205758532
57,62288.03377916888
50,32163.185195069822
36,62631.48041031726
31,63725.61249793424
46,99334.98381363855
47,89414.72870237079
49,36628.86969470223
34,91928.19686377759
20,34977.71633449998
21,90872.60147634649
32,35860.04187511554
46,69724.44648161011
55,54710.59530436234
57,84649.04580997457
59,95336.04962775377
44,45594.772588949876
23,72124.02019372929
48,53705.060293260016
57,90066.30409713491
36,83319.46173265968
39,55415.6387923349
28,89040.18561776224
42,73569.53786997781
52,97519.4143982417
38,37150.691147508325
23,74787.04138669369
50,45889.08048036001
31,54505.701109010755
20,48683.51781267615
48,77376.677276953
21,55603.784382298094
23,67851.6417665724
55,85841.9062019767
39,91143.67081465205
20,59709.21820068133
27,49882.323848748434
54,91573.8142580069
51,98971.91872682892
47,43671.34398499565
48,56179.05063159025
24,60113.25605298426
56,80887.60647571298
57,36836.89331883808
42,43124.86062607117
46,35381.22024733261
32,83280.62690190876
25,42880.46099900027
27,80612.15638346081
45,34424.12327000557
51,81440.24672122432
43,59863.98686303795
28,97085.45883123162
33,91596.67889181201
44,98689.9940548587
59,31091.966913997585
24,35919.62181548429
21,42127.36058214826
58,44318.294158650824
36,79136.81247701943
43,38956.22123320643
28,33672.016667731485
27,79663.61193604328
42,34779.25686860697
48,62027.88463464502
49,63161.6833609505
57,43211.8608167169
54,94542.91216204075
50,64779.59927758916
54,44234.61593597854
25,93549.36118620759
21,81267.90130981937
20,39430.22902760213
58,41106.23168954609
20,67215.78379621316
43,43079.01735299742
42,99339.52516483964
56,33871.08607007721
48,38868.12708752457
59,87276.98019400016
36,38159.636440764974
44,46301.3898841523
24,92378.58892906939
29,35963.47946377308
39,51849.10954660227
23,30205.453951030126
39,75273.9330862343
34,51863.79208430479
52,43560.87713782839
40,46702.833709686034
47,80113.18265196912
56,99335.7341424322
41,35721.82256751598
30,48909.267956303454
35,76917.3714077401
33,85819.32500998686
